"Product ID";Immagine;Nome;Riferimento;Categoria;"Prezzo (tasse escl.)";"Prezzo (tasse incl.)";Quantità;Stato;Posizione
10986;https://horecamart.it/30399/barattolo-in-ceramica-decoro-bambu-con-coperchio-con-guarnizione-in-silicone-lt-15.jpg;"Barattolo in ceramica decoro bambù con coperchio con guarnizione in silicone lt 1,5.";9672115;"Barattoli e vasetti";14.713115;17.95;200;0
10985;https://horecamart.it/30396/barattolo-in-ceramica-decoro-bambu-con-coperchio-con-guarnizione-in-silicone-lt-075.jpg;"Barattolo in ceramica decoro bambù con coperchio con guarnizione in silicone lt 0,75";9672107;"Barattoli e vasetti";12.254098;14.95;200;0
10984;https://horecamart.it/30393/barattolo-in-ceramica-decoro-fiori-blu-con-coperchio-con-guarnizione-in-silicone-lt-133.jpg;"Barattolo in ceramica decoro fiori blu con coperchio con guarnizione in silicone lt 1,33";9672013;"Barattoli e vasetti";14.713115;17.95;200;0
10983;https://horecamart.it/30390/biscottiera-in-ceramica-con-coperchio-con-guarnizione-in-silicone-lt-19.jpg;"Biscottiera in ceramica con coperchio con guarnizione in silicone lt 1,9";9671900;"Barattoli e vasetti";22.090164;26.95;200;0
10982;https://horecamart.it/30387/barattolo-caffe-in-ceramica-con-coperchio-con-guarnizione-in-silicone-lt-075.jpg;"Barattolo Caffè in ceramica con coperchio con guarnizione in silicone lt 0,75.";9671800;"Barattoli e vasetti";12.254098;14.95;200;0
10981;https://horecamart.it/30384/barattolo-zucchero-in-ceramica-con-coperchio-con-guarnizione-in-silicone-lt-075.jpg;"Barattolo Zucchero in ceramica con coperchio con guarnizione in silicone lt 0,75";9671700;"Barattoli e vasetti";12.254098;14.95;200;0
10980;https://horecamart.it/30382/barattolo-sale-in-ceramica-con-coperchio-con-guarnizione-in-silicone-lt-075.jpg;"Barattolo Sale in ceramica con coperchio con guarnizione in silicone lt 0,75";9671600;"Barattoli e vasetti";12.254098;14.95;200;0
10979;https://horecamart.it/30380/tegame-2-manici-absolute-red-in-alluminio-antiaderente-pfluon-colore-rosso-cm-28.jpg;"Tegame 2 manici Absolute red in alluminio antiaderente pfluon colore rosso cm 28";9459428;"Pentole e casseruole";22.090164;26.95;0;1
10978;https://horecamart.it/30378/wok-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-28.jpg;"Wok Polaris in alluminio antiaderente colore grigio antracite cm 28";9444728;"Padelle e Wok";22.090164;26.95;500;0
10977;https://horecamart.it/30374/casseruola-1-manico-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-22.jpg;"Casseruola 1 manico Polaris in alluminio antiaderente colore grigio antracite cm 22";9444616;"Pentole e casseruole";14.713115;17.95;500;0
10976;https://horecamart.it/30372/casseruola-2-manici-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-24.jpg;"Casseruola 2 manici Polaris in alluminio antiaderente colore grigio antracite cm 24";9444524;"Pentole e casseruole";25.368852;30.95;500;0
10975;https://horecamart.it/30369/casseruola-2-manici-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-20.jpg;"Casseruola 2 manici Polaris in alluminio antiaderente colore grigio antracite cm 20";9444520;"Pentole e casseruole";19.631148;23.95;500;0
10974;https://horecamart.it/30366/tegame-2-manici-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-28.jpg;"Tegame 2 manici Polaris in alluminio antiaderente colore grigio antracite cm 28";9444428;"Pentole e casseruole";25.368852;30.95;500;0
10973;https://horecamart.it/30362/tegame-2-manici-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-24.jpg;"Tegame 2 manici Polaris in alluminio antiaderente colore grigio antracite cm 24";9444424;"Padelle e Wok";20.450820;24.95;500;0
10972;https://horecamart.it/30360/padella-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-28.jpg;"Padella Polaris in alluminio antiaderente colore grigio antracite cm 28";9444328;"Padelle e Wok";21.270492;25.95;1000;0
10971;https://horecamart.it/30356/padella-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-26.jpg;"Padella Polaris in alluminio antiaderente colore grigio antracite cm 26";9444326;"Padelle e Wok";17.991803;21.95;1000;0
10970;https://horecamart.it/30353/padella-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-24.jpg;"Padella Polaris in alluminio antiaderente colore grigio antracite cm 24";9444324;"Padelle e Wok";17.172131;20.95;1000;0
10969;https://horecamart.it/30351/padella-polaris-in-alluminio-antiaderente-colore-grigio-antracite-cm-22.jpg;"Padella Polaris in alluminio antiaderente colore grigio antracite cm 22";9444322;"Padelle e Wok";15.532787;18.95;1000;0
10968;https://horecamart.it/30347/oliera-in-acciaio-inox-18-10-lt-075.jpg;"Oliera in acciaio inox 18/10 lt 0,75.";9377007;"Condimenti e Servizio";16.352459;19.95;1000;0
10967;https://horecamart.it/30344/oliera-in-acciaio-inox-18-10-lt-05.jpg;"Oliera in acciaio inox 18/10 lt 0,5";9377005;"Condimenti e Servizio";14.713115;17.95;500;0
10966;https://horecamart.it/30341/oliera-in-acciaio-inox-18-10-lt-030.jpg;"Oliera in acciaio inox 18/10 lt 0,30.";9377003;"Condimenti e Servizio";13.073770;15.95;1000;0
10965;https://horecamart.it/30339/mug-in-acciaio-inox-ramato-cl-50.jpg;"Mug in acciaio inox ramato cl 50";9376700;Mug;11.434426;13.95;500;0
10964;https://horecamart.it/30335/mappamondo-globo-con-base-girevole-in-plastica-sfondo-nero-cm-20.jpg;"Mappamondo globo con base girevole in plastica sfondo nero cm 20";9172420;Oggettistica;17.991803;21.95;500;0
10963;https://horecamart.it/30333/globo-mappamondo-girevole-con-base-in-plastica-decorato-sfondo-nero-cm-145.jpg;"Globo mappamondo girevole con base in plastica decorato sfondo nero cm 14.5";9172414;Oggettistica;7.336066;8.95;1000;0
10962;https://horecamart.it/30329/globo-mappamondo-girevole-con-base-in-plastica-decorato-sfondo-nero-cm-105.jpg;"Globo mappamondo girevole con base in plastica decorato sfondo nero cm 10.5.";9172410;Oggettistica;3.237705;3.95;1000;0
10961;https://horecamart.it/30327/globo-mappamondo-girevole-con-base-in-plastica-decorato-sfondo-sabbia-cm-20.jpg;"Globo mappamondo girevole con base in plastica decorato sfondo sabbia cm 20.";9172320;Oggettistica;17.991803;21.95;500;0
10960;https://horecamart.it/30324/globo-mappamondo-girevole-con-base-in-plastica-decorato-sfondo-beige-cm-145.jpg;"Globo mappamondo girevole con base in plastica decorato sfondo beige cm 14.5";9172314;Oggettistica;7.336066;8.95;1000;0
